,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNZIP1,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy,PurchYear
0,2005,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,MAROON,AUTO,Covers,73807,AMERICAN,MEDIUM,CHRYSLER,3202,4760,6943,8457,4035,5557,7146,8702,33619,4900,0,1389,0,2009
1,2004,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,Alloy,65617,AMERICAN,COMPACT,CHRYSLER,1893,2675,4658,5690,1844,2646,4375,5518,33619,4100,0,630,0,2009
2,2005,4,FORD,FOCUS,ZX3,2D COUPE ZX3,SILVER,MANUAL,Covers,69367,AMERICAN,COMPACT,FORD,3913,5054,7723,8707,3247,4384,6739,7911,33619,4000,0,1020,0,2009
3,2004,5,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,WHITE,AUTO,Covers,81054,OTHER ASIAN,MEDIUM,OTHER,3901,4908,6706,8577,4709,5827,8149,9451,33619,5600,0,594,0,2009
4,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,Alloy,76173,AMERICAN,LARGE TRUCK,CHRYSLER,6407,8051,10378,12443,7159,8934,11135,12560,33619,8800,0,920,0,2009
5,2007,3,SUZUKI,FORENZA,Bas,4D SEDAN,GOLD,AUTO,Covers,35796,OTHER ASIAN,MEDIUM,OTHER,5019,5870,8484,9263,5451,6336,8617,9919,33619,5900,0,462,0,2010
6,2006,4,SUZUKI,FORENZA,Bas,4D SEDAN,RED,AUTO,Alloy,72479,OTHER ASIAN,MEDIUM,OTHER,3620,4720,6484,8037,4439,5373,7460,9030,33619,4600,0,569,0,2010
7,2005,5,DODGE,DURANGO 2WD V8,ST,4D SUV 4.7L ST,RED,AUTO,Covers,79957,AMERICAN,MEDIUM SUV,CHRYSLER,6242,8058,10261,12091,6698,7400,11325,11897,33619,7700,0,1389,0,2010
8,2005,5,FORD,F150 PICKUP 2WD V8,Lar,CREW CAB 5.4L KING RANCH,GREY,AUTO,Alloy,86702,AMERICAN,LARGE TRUCK,FORD,12004,15664,17400,21702,11520,14974,16133,19975,33619,10100,0,853,0,2010
9,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,PURPLE,AUTO,Alloy,74026,AMERICAN,LARGE TRUCK,CHRYSLER,6964,8498,10836,12389,8132,9370,11798,13307,33619,10200,0,920,0,2010
10,2006,4,CHRYSLER,300,Bas,4D SEDAN,BLACK,AUTO,Covers,62230,AMERICAN,SPECIALTY,CHRYSLER,9090,10656,13016,14681,10119,11611,14134,15616,33619,10100,0,1215,0,2010
11,2002,8,OLDSMOBILE,ALERO 4C,GL,4D SEDAN GL1,BROWN,AUTO,Covers,77233,AMERICAN,MEDIUM,GM,2072,2862,5511,7612,2099,3193,4617,5559,33619,4600,0,1806,0,2010
12,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,REG CAB 3.7L,RED,AUTO,Alloy,59391,AMERICAN,LARGE TRUCK,CHRYSLER,4526,5582,8143,9500,4446,5621,7944,9710,33619,7600,0,505,0,2010
13,2007,3,KIA,OPTIMA 4C,EX,4D SEDAN,SILVER,AUTO,Covers,68165,OTHER ASIAN,MEDIUM,OTHER,7151,7576,10339,10720,6603,8038,10146,11314,33619,7300,0,728,0,2010
14,2002,8,FORD,RANGER PICKUP 2WD V6,Edg,2D EXT CAB 3.0L EDGE,YELLOW,MANUAL,Alloy,75484,AMERICAN,SMALL TRUCK,FORD,4661,5666,7917,9071,4871,6061,8005,9312,33619,7100,0,869,0,2010
